name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
MUDDER,133114,117,0.04,89034.14,96.58,0.00,0.00,(S),(S),(S)
MUNG,133114,117,0.04,89034.19,11.11,4.27,77.78,(S),(S),5.13
MUNITZ,133114,117,0.04,89034.23,97.44,(S),0.00,0.00,0.00,(S)
MUSCARO,133114,117,0.04,89034.27,96.58,(S),0.00,0.00,0.00,(S)
MUSKET,133114,117,0.04,89034.32,94.02,0.00,0.00,4.27,(S),(S)
MUSTAFAA,133114,117,0.04,89034.36,0.00,95.73,0.00,0.00,(S),(S)
MYRAND,133114,117,0.04,89034.40,92.31,0.00,(S),0.00,(S),4.27
NAHINU,133114,117,0.04,89034.45,9.40,(S),53.85,(S),17.95,16.24
NARAG,133114,117,0.04,89034.49,4.27,(S),81.20,0.00,11.11,(S)
NASSEN,133114,117,0.04,89034.53,79.49,0.00,4.27,0.00,4.27,11.97
NAUGHTIN,133114,117,0.04,89034.58,99.00,0.00,0.00,0.00,0.00,0.00
NEATROUR,133114,117,0.04,89034.62,96.58,0.00,0.00,0.00,(S),(S)
NEIFELD,133114,117,0.04,89034.66,99.00,0.00,0.00,0.00,0.00,0.00
NEOU,133114,117,0.04,89034.71,(S),0.00,79.49,(S),16.24,0.00
